GeoType,CDTAType,GeogName,GeogNamenoID,Neighborhood,GeoID,Borough,MedianHHIncome,TotalPopulation,LatinXP,WhiteP,BlackP,AmericanIndianP,AsianP,NativeHawaiiP,OtherP,TwoMoreP,
CDTA2020,CD,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),Midtown-Flatiron-Union Square (CD 5 Approximation),Midtown-Flatiron-Union Square,MN05,Manhattan,"146,659","49,302",11.7,58.4,5.8,0.2,19.1,0.2,0.6,4.0,
CDTA2020,CD,MN06 East Midtown-Murray Hill (CD 6 Approximation),East Midtown-Murray Hill (CD 6 Approximation),East Midtown-Murray Hill,MN06,Manhattan,"137,917","149,052",8.8,68.1,4.3,0.0,15.1,0.0,0.5,3.2,
CDTA2020,CD,MN07 Upper West Side (CD 7 Approximation),Upper West Side (CD 7 Approximation),Upper West Side,MN07,Manhattan,"127,940","221,646",15.2,65.1,5.7,0.0,9.9,,0.9,3.3,
CDTA2020,CD,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),Upper East Side-Roosevelt Island (CD 8 Equivalent),Upper East Side-Roosevelt Island,MN08,Manhattan,"137,455","217,279",9.0,74.6,2.8,0.1,10.5,0.1,0.3,2.6,
CDTA2020,CD,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),Morningside Heights-Hamilton Heights (CD 9 Equivalent),Morningside Heights-Hamilton Heights,MN09,Manhattan,"56,527","115,788",39.7,25.9,22.3,0.2,8.2,0.0,0.6,3.1,
CDTA2020,CD,MN10 Harlem (CD 10 Equivalent),Harlem (CD 10 Equivalent),Harlem,MN10,Manhattan,"55,718","133,831",23.5,15.7,53.0,0.1,3.8,0.0,0.7,3.1,
CDTA2020,CD,MN11 East Harlem (CD 11 Equivalent),East Harlem (CD 11 Equivalent),East Harlem,MN11,Manhattan,"35,571","126,338",43.5,14.4,30.7,0.1,8.2,0.0,1.2,1.9,
CDTA2020,CD,MN12 Washington Heights-Inwood (CD 12 Equivalent),Washington Heights-Inwood (CD 12 Equivalent),Washington Heights-Inwood,MN12,Manhattan,"61,452","208,994",67.9,19.9,6.6,0.1,3.1,0.0,0.5,1.9,
CDTA2020,JIA,MN64 Central Park (JIA 64 Equivalent),Central Park (JIA 64 Equivalent),Central Park,MN64,Manhattan,,0,,,,,,,,,
CDTA2020,CD,QN01 Astoria-Queensbridge (CD 1 Equivalent),Astoria-Queensbridge (CD 1 Equivalent),Astoria-Queensbridge,QN01,Queens,"79,471","179,025",26.4,47.7,7.3,0.2,14.1,0.0,0.7,3.6,
CDTA2020,CD,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),Long Island City-Sunnyside-Woodside (CD 2 Approximation),Long Island City-Sunnyside-Woodside,QN02,Queens,"83,093","123,037",31.0,30.0,1.7,0.1,34.0,0.0,0.5,2.8,
CDTA2020,CD,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),Jackson Heights-East Elmhurst (CD 3 Approximation),Jackson Heights-East Elmhurst,QN03,Queens,"66,184","161,648",61.4,11.8,6.0,0.1,18.5,0.0,0.4,1.8,
CDTA2020,CD,QN04 Elmhurst-Corona (CD 4 Approximation),Elmhurst-Corona (CD 4 Approximation),Elmhurst-Corona,QN04,Queens,"60,527","177,666",53.7,5.9,4.0,0.2,34.4,0.0,0.4,1.3,
