GeoType,NTAType,GeogName,GeoID,Borough,Pop_1E_TotalPop,MdHHIncE,MdEarningperWrkE,Hsp1E,Hsp1P-Hispanic,WtNHE,WtNHPWhite,BlNHE,BlNHP-Black,AIANNHE,AIANNHP-Am-Ind,AsnNHE,AsnNHP-Asian,NHPINHE,NHPINHP-NatHawaii-Pac-Is,OthNHE,OthNHP-Other,Rc2plNHE,Rc2plNHP-2more,EA_Pop25olderplE,EA_HScGrdE,EA_HScGrdP,EA_BchDHE,EA_BachandHigherDHP
NTA2020,0,Upper East Side-Lenox Hill-Roosevelt Island,MN0801,Manhattan,"81,894",125161,"89,131","7,307",8.9,"57,648",70.4,"2,432",3,113,0.1,"12,215",14.9,123,0.2,124,0.2,"1,932",2.4,"63,974","5,235",8.2,"50,676",79.2
NTA2020,0,Upper East Side-Carnegie Hill,MN0802,Manhattan,"54,910",186071,"100,000","4,094",7.5,"45,387",82.7,402,0.7,20,0,"3,222",5.9,1,0,158,0.3,"1,626",3,"43,286","2,194",5.1,"36,706",84.8
NTA2020,0,Upper East Side-Yorkville,MN0803,Manhattan,"80,475",130237,"94,822","8,179",10.2,"59,076",73.4,"3,180",4,0,,"7,463",9.3,13,0,395,0.5,"2,169",2.7,"65,856","5,098",7.7,"51,051",77.5
NTA2020,0,Morningside Heights,MN0901,Manhattan,"38,346",68652,"35,189","7,715",20.1,"17,286",45.1,"5,497",14.3,228,0.6,"6,217",16.2,1,0,205,0.5,"1,197",3.1,"22,330","2,518",11.3,"15,917",71.3
NTA2020,0,Manhattanville-West Harlem,MN0902,Manhattan,"23,847",42603,"33,194","12,062",50.6,"3,454",14.5,"6,459",27.1,59,0.2,"1,317",5.5,0,,55,0.2,441,1.8,"16,743","4,248",25.4,"5,015",30
NTA2020,0,Hamilton Heights-Sugar Hill,MN0903,Manhattan,"53,595",58832,"37,691","26,205",48.9,"9,196",17.2,"13,814",25.8,0,,"1,989",3.7,0,,449,0.8,"1,942",3.6,"40,860","7,497",18.3,"16,201",39.7
NTA2020,0,Harlem (South),MN1001,Manhattan,"50,774",64944,"48,452","9,613",18.9,"12,156",23.9,"23,883",47,44,0.1,"2,810",5.5,0,,243,0.5,"2,025",4,"37,307","7,388",19.8,"19,258",51.6
NTA2020,0,Harlem (North),MN1002,Manhattan,"83,057",51329,"42,193","21,876",26.3,"8,915",10.7,"47,071",56.7,80,0.1,"2,228",2.7,2,0,748,0.9,"2,137",2.6,"59,037","13,784",23.3,"21,879",37.1
NTA2020,0,East Harlem (South),MN1101,Manhattan,"59,773",39644,"42,427","25,245",42.2,"11,124",18.6,"13,337",22.3,67,0.1,"7,756",13,0,,998,1.7,"1,246",2.1,"43,793","9,511",21.7,"15,870",36.2
NTA2020,0,East Harlem (North),MN1102,Manhattan,"64,720",31879,"40,658","29,191",45.1,"6,800",10.5,"24,446",37.8,7,0,"2,598",4,0,,552,0.9,"1,126",1.7,"45,190","12,291",27.2,"13,287",29.4
NTA2020,0,Washington Heights (South),MN1201,Manhattan,"82,547",53141,"32,319","58,325",70.7,"11,149",13.5,"8,328",10.1,94,0.1,"3,004",3.6,3,0,393,0.5,"1,251",1.5,"61,969","11,275",18.2,"20,193",32.6
NTA2020,0,Washington Heights (North),MN1202,Manhattan,"83,526",68970,"37,837","52,859",63.3,"22,852",27.4,"3,099",3.7,64,0.1,"2,357",2.8,5,0,546,0.7,"1,744",2.1,"62,842","11,697",18.6,"26,051",41.5
NTA2020,0,Inwood,MN1203,Manhattan,"42,900",63870,"37,465","30,753",71.7,"7,574",17.7,"2,266",5.3,50,0.1,"1,139",2.7,0,,126,0.3,992,2.3,"31,704","5,716",18,"11,984",37.8
NTA2020,0,Astoria (North)-Ditmars-Steinway,QN0101,Queens,"48,555",91218,"55,775","9,855",20.3,"30,964",63.8,"1,451",3,40,0.1,"4,386",9,0,,163,0.3,"1,696",3.5,"38,043","7,212",19,"19,598",51.5
NTA2020,0,Old Astoria-Hallets Point,QN0102,Queens,"13,273",72535,"54,001","4,752",35.8,"4,524",34.1,"1,332",10,0,,"2,117",15.9,0,,88,0.7,460,3.5,"9,932","2,452",24.7,"4,156",41.8
NTA2020,0,Astoria (Central),QN0103,Queens,"47,618",97216,"62,061","10,758",22.6,"25,143",52.8,"1,075",2.3,232,0.5,"8,136",17.1,0,,442,0.9,"1,832",3.8,"38,661","6,331",16.4,"23,610",61.1
NTA2020,0,Astoria (East)-Woodside (North),QN0104,Queens,"36,805",73486,"44,656","11,319",30.8,"17,126",46.5,"1,475",4,0,,"5,291",14.4,0,,266,0.7,"1,328",3.6,"29,040","6,687",23,"13,409",46.2
NTA2020,0,Queensbridge-Ravenswood-Dutch Kills,QN0105,Queens,"26,078",48129,"39,636","8,379",32.1,"6,636",25.4,"4,543",17.4,85,0.3,"5,192",19.9,9,0,202,0.8,"1,032",4,"19,074","5,717",30,"6,741",35.3
NTA2020,0,Long Island City-Hunters Point,QN0201,Queens,"24,301",141161,"96,756","2,427",10,"11,689",48.1,842,3.5,0,,"8,001",32.9,0,,44,0.2,"1,298",5.3,"18,829","1,211",6.4,"14,749",78.3
NTA2020,0,Sunnyside,QN0202,Queens,"49,937",73043,"45,872","17,237",34.5,"16,226",32.5,926,1.9,47,0.1,"13,600",27.2,9,0,381,0.8,"1,511",3,"38,706","9,000",23.3,"16,989",43.9
